conta,descricao,origem,akd_debito,akd_credito,akd_abs_saldo,ct2_debito,ct2_credito,ct2_abs_saldo,ct2_max,ct2_min,diff_abs_saldo,diff_ct2_debito,diff_ct2_credito,diff_ct2_max,diff_ct2_min,melhor_formula_ct2
1141020006,LICENCA DE SOFTWARE A APROPRIAR,somente_ct2,0.00,0.00,0.00,0.00,1834755.72,1834755.72,1834755.72,0.00,1834755.72,0.00,1834755.72,1834755.72,0.00,ct2_debito
1151010001,DEPOSITO E CAUCAO EM GERAL,ambos,195522.97,143.72,195379.25,573315.78,719766.81,146451.03,719766.81,573315.78,48928.22,377936.53,524387.56,524387.56,377936.53,ct2_abs_saldo
1171010003,FUNDO APEXPREV TSP NÃO INTEGRALIZADO,somente_ct2,0.00,0.00,0.00,36294.52,0.00,36294.52,36294.52,0.00,36294.52,36294.52,0.00,36294.52,0.00,ct2_credito
1211010001,CREDITOS GERAIS A RECEBER,somente_ct2,0.00,0.00,0.00,16756.67,0.00,16756.67,16756.67,0.00,16756.67,16756.67,0.00,16756.67,0.00,ct2_credito
1212010002,DEPOSITOS E CAUCOES EM GERAL,somente_ct2,0.00,0.00,0.00,682515.95,420559.19,261956.76,682515.95,420559.19,261956.76,682515.95,420559.19,682515.95,420559.19,ct2_abs_saldo
1212010003,DEPOSITOS JUDICIAIS TRABALHISTAS,somente_ct2,0.00,0.00,0.00,4762.99,0.00,4762.99,4762.99,0.00,4762.99,4762.99,0.00,4762.99,0.00,ct2_credito
1212010004,DEPOSITOS JUDICIAIS INSS FOPAG,somente_ct2,0.00,0.00,0.00,5676049.34,0.00,5676049.34,5676049.34,0.00,5676049.34,5676049.34,0.00,5676049.34,0.00,ct2_credito
1212010005,DEPOSITO JUDICIAL - PIS,somente_ct2,0.00,0.00,0.00,252784.60,0.00,252784.60,252784.60,0.00,252784.60,252784.60,0.00,252784.60,0.00,ct2_credito
1212010006,DEPOSITO JUDICIAL - COFINS,somente_ct2,0.00,0.00,0.00,1408601.98,0.00,1408601.98,1408601.98,0.00,1408601.98,1408601.98,0.00,1408601.98,0.00,ct2_credito
1212010007,DEPOSITO JUDICIAL - SALARIO EDUCACAO,somente_ct2,0.00,0.00,0.00,654159.47,0.00,654159.47,654159.47,0.00,654159.47,654159.47,0.00,654159.47,0.00,ct2_credito
1212010008,DEPOSITO JUDICIAL - INCRA,somente_ct2,0.00,0.00,0.00,52332.66,0.00,52332.66,52332.66,0.00,52332.66,52332.66,0.00,52332.66,0.00,ct2_credito
1231010001,DIREITOS DE USO EM ARRENDAMENTOS,somente_ct2,0.00,0.00,0.00,2266175.30,3108898.87,842723.57,3108898.87,2266175.30,842723.57,2266175.30,3108898.87,3108898.87,2266175.30,ct2_abs_saldo
1231990001,( - ) D. A. - DIREITOS DE USO,somente_ct2,0.00,0.00,0.00,539248.59,1575260.89,1036012.30,1575260.89,539248.59,1036012.30,539248.59,1575260.89,1575260.89,539248.59,ct2_debito
1241010001,OBRAS EM ANDAMENTO,ambos,19372401.06,9686200.53,9686200.53,9686200.53,243048700.53,233362500.00,243048700.53,9686200.53,223676299.47,0.00,233362500.00,233362500.00,0.00,ct2_debito
1241010002,EDIFICAÇÕES/ESTRUTURA,somente_ct2,0.00,0.00,0.00,83219480.21,0.00,83219480.21,83219480.21,0.00,83219480.21,83219480.21,0.00,83219480.21,0.00,ct2_credito
1241010003,MAQ/EQUIPAMENTOS DE ESCRITÓRIO,ambos,4096.25,0.00,4096.25,9063.33,7984.91,1078.42,9063.33,7984.91,3017.83,4967.08,3888.66,4967.08,3888.66,ct2_abs_saldo
1241010004,INSTALAÇÕES,ambos,0.00,0.00,0.00,348.82,3948.82,3600.00,3948.82,348.82,3600.00,348.82,3948.82,3948.82,348.82,ct2_debito
1241010005,EQUIPAMENTOS DE INFORMÁTICA,ambos,2550488.45,0.00,2550488.45,2566061.69,1244041.45,1322020.24,2566061.69,1244041.45,1228468.21,15573.24,1306447.00,15573.24,1306447.00,ct2_debito
1241010006,MÓVEIS E UTENSÍLIOS,ambos,83775.12,60986.28,22788.84,5898.53,1413441.94,1407543.41,1413441.94,5898.53,1384754.57,16890.31,1390653.10,1390653.10,16890.31,ct2_debito
1241010007,TERRENOS,somente_ct2,0.00,0.00,0.00,35000000.00,0.00,35000000.00,35000000.00,0.00,35000000.00,35000000.00,0.00,35000000.00,0.00,ct2_credito
1241010008,MARCENARIA/ESQUADRIAS,somente_ct2,0.00,0.00,0.00,8321948.02,0.00,8321948.02,8321948.02,0.00,8321948.02,8321948.02,0.00,8321948.02,0.00,ct2_credito
1241010009,INSTALAÇÕES ELÉTRICAS,somente_ct2,0.00,0.00,0.00,29126818.07,0.00,29126818.07,29126818.07,0.00,29126818.07,29126818.07,0.00,29126818.07,0.00,ct2_credito
1241010011,INSTALAÇÕES HIDRÁULICAS,somente_ct2,0.00,0.00,0.00,16643896.04,0.00,16643896.04,16643896.04,0.00,16643896.04,16643896.04,0.00,16643896.04,0.00,ct2_credito
1241010012,SISTEMAS DE AR-CONDICIONADO,somente_ct2,0.00,0.00,0.00,20804870.05,0.00,20804870.05,20804870.05,0.00,20804870.05,20804870.05,0.00,20804870.05,0.00,ct2_credito
1241010013,ELEVADORES,somente_ct2,0.00,0.00,0.00,6241461.02,0.00,6241461.02,6241461.02,0.00,6241461.02,6241461.02,0.00,6241461.02,0.00,ct2_credito
1241010014,SISTEMAS DE SEGURANÇA,somente_ct2,0.00,0.00,0.00,2080487.02,0.00,2080487.02,2080487.02,0.00,2080487.02,2080487.02,0.00,2080487.02,0.00,ct2_credito
1241010015,REVESTIMENTOS/ACABAMENTOS,somente_ct2,0.00,0.00,0.00,29126818.07,0.00,29126818.07,29126818.07,0.00,29126818.07,29126818.07,0.00,29126818.07,0.00,ct2_credito
1241010016,COBERTURA/FACHADAS,somente_ct2,0.00,0.00,0.00,12482922.03,0.00,12482922.03,12482922.03,0.00,12482922.03,12482922.03,0.00,12482922.03,0.00,ct2_credito
