"CT5_LANPAD","CT5_SEQUEN","CT5_ORIGEM","CT5_DESC","CT5_XDOC"
"581","001","""LP: 581-001""                                                                                       ",APLICACÕES - EXCLUSAO APLICACAO FINANCEIRA (FISCAL)                                                 ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"582","001","""LP: 582-001""                                                                                       ",APLICACÕES - APROPRIACAO DE IRRF (FISCAL)                                                           ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"582","002","""LP: 582-002""                                                                                       ",APLICACÕES - APROPRIACAO DE IOF (FISCAL)                                                            ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"582","003","""LP: 582-003""                                                                                       ",APLICACÕES - APROPRIACAO DE JUROS (FISCAL)                                                          ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"582","004","""LP: 582-004""                                                                                       ",APLICACÕES - APROPRIACAO DE COFINS (FISCAL)                                                         ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"584","001","""LP: 584-001""                                                                                       ",APLICACÕES - ESTORNO APROPRIACAO APLICACAO FINANCEIRA IRRF (FISCAL)                                 ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"584","002","""LP: 584-002""                                                                                       ",APLICACÕES - ESTORNO APROPRIACAO APLICACAO FINANCEIRA IOF (FISCAL)                                  ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"584","003","""LP: 584-003""                                                                                       ",APLICACÕES - ESTORNO APROPRIACAO APLICACAO FINANCEIRA JUROS (FISCAL)                                ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"584","004","""LP: 584-004""                                                                                       ",APLICACÕES - ESTORNO APROPRIACAO APLICACAO FINANCEIRA COFINS (FISCAL)                               ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"585","001","""LP: 585-001""                                                                                       ",APLICACÕES - RESGATE APLICACAO FINANCEIRA  (FISCAL)                                                 ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"586","001","""LP: 586-001""                                                                                       ",APLICACÕES - ESTORNO DO RESGATE FINANCEIRO (FISCAL)                                                 ,"""SEH""+CVALTOCHAR(SEH->(RECNO()))                                                                    "
"588","001","""LP: 588-001""                                                                                       ",CONTAS A PAGAR - CANCELAMENTO COMPENSACAO CONTAS A PAGAR  (FISCAL)                                  ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"588","002","""LP: 588-002""                                                                                       ",CONTAS A PAGAR - CANCELAMENTO COMPENSACAO CONTAS A PAGAR - PTC (FISCAL)                             ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"594","001","""LP: 594-001""                                                                                       ",CONTAS A PAGAR/RECEBER - COMPENSACAO ENTRE CARTEIRAS (FISCAL)                                       ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"596","001","""LP: 596-001""                                                                                       ",COMPENSAÇÃO ADIATAMENTO CONTAS A RECEBER                                                            ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"597","001","""LP: 597-001""                                                                                       ",CONTAS A PAGAR - COMPENSACAO CONTAS A PAGAR  (FISCAL)                                               ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"597","002","""LP: 597-002""                                                                                       ",CONTAS A PAGAR - COMPENSACAO CONTAS A PAGAR - PTC (FISCAL)                                          ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"599","001","""LP: 599-001""                                                                                       ",VARIAÇÃO CAMBIAL A PAGAR (FISCAL)                                                                   ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"610","001","""LP: 610-001""                                                                                       ",DOCUMENTO DE SAIDA - INCLUSÃO DE DOCUMENTO ITENS RECEITA (FISCAL)                                   ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"610","002","""LP: 610-002""                                                                                       ",DOCUMENTO DE SAIDA - INCLUSÃO DE DOCUMENTO ITENS COFINS S/FATURAMENTO (FISCAL)                      ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"610","003","""LP: 610-003""                                                                                       ",DOCUMENTO DE SAIDA - INCLUSÃO DE DOCUMENTO ITENS ISS S/FATURAMENTO (FISCAL)                         ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"610","004","""LP: 610-004""                                                                                       ",DOCUMENTO DE SAIDA - INCLUSÃO DE DOCUMENTO ITENS CLIENTE (FISCAL)                                   ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"610","005","""LP: 610-005""                                                                                       ",DOCUMENTO DE SAIDA - INCLUSÃO DE DOCUMENTO ITENS DEVOLUCAO DE COMPRAS - (FISCAL)                    ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"610","006","""LP: 610-006""                                                                                       ",DOCUMENTO DE SAIDA - INCLUSÃO DE DOCUMENTO ITENS DEVOLUCAO DE COMPRAS - (FISCAL)                    ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"610","007","""LP: 610-007""                                                                                       ",DOCUMENTO DE SAIDA - INCLUSÃO DE DOCUMENTO ITENS RECEITA - CURSOS (FISCAL)                          ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
"610","008","""LP: 610-008""                                                                                       ",DOCUMENTO DE SAIDA - INCLUSÃO DE DOCUMENTO ITENS RECEITA - CURSOS (FISCAL)                          ,"""SD2""+CVALTOCHAR(SD2->(RECNO()))                                                                    "
