reason_signature;candidatos;selecionados;taxa_selecao
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|insight_xnumap_cc|insight_xnumap_conta|insight_xnumap_valor|tokens|valor|xnumap_at04db|xnumap_xdocum;21;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;21;7;33.33
chave_estruturada|doc_extra|doc_hist_1|texto|tokens|valor;21;0;0.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_2|ent05_conta|insight_xnumap_cc|insight_xnumap_conta|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;20;20;100.0
competencia|tokens|valor;20;0;0.0
cc|competencia|competencia_conta_cc|doc_hist_2|ent05_conta|tokens|valor;19;0;0.0
cc|classe_valor|texto|tokens|valor;19;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|insight_xnumap_valor|tokens|valor|xnumap_at04db|xnumap_xdocum;18;0;0.0
chave_estruturada|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor;18;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|tokens|valor|xdoc|xdoc_at01cr;16;6;37.5
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|tokens|valor|xdoc|xdoc_at01cr;16;8;50.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|insight_classe_valor_competencia|valor|xdoc|xdoc_at01cr;16;8;50.0
cc|competencia|doc_hist_2|texto|tokens|valor;16;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|valor;15;1;6.67
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|insight_classe_valor_competencia|texto|tokens|valor|xdoc|xdoc_at01cr;14;5;35.71
competencia|doc_hist_2|texto|tokens|valor;14;5;35.71
