CT1_CONTA,CT1_DESC01
1241990011,(-)_D.A - MOVEIS S INSTALACOES EA SP
1241999999,( - ) D.A - IMOBILIZADO EAS
1251010001,MARCAS E PATENTES
1251010002,DIREITOS DE USO/UTILIZACAO
1251010003,SOFTWARE/SISTEMA DE INFORMACAO
1251019999,(-) PROVISAO AJUSTE IMPARIDADE IMOB.I
1251990001,(-)_D.A - MARCAS E PATENTES
1251990002,(-)_D.A - DIREITOS DE USO/UTILIZACAO
1251990003,(-)_D.A - SOFTWARE/SISTEMA DE INFORMA
1251999999,(+) PROVISAO AJUSTE IMPARIDADE DEP.IN
1291999999,TRANSITORIA DE IMOBILIZADO
2111010001,FORNECEDORES NACIONAIS
2111020001,FORNECEDORES EA'S
2111020002,VIAGENS EA'S A PAGAR
2111020003,FORNECEDORES ESTRANGEIROS
2111030001,FORNECEDORES DE VIAGENS
2112010001,CONTAS A PAGAR DIVERSAS
2112010002,EMPREGADOS/COLABORADORES
2112010003,DIREITOS/CREDITOS A IDENTIFICAR
2112010004,DEPOSITOS BANCARIOS NAO IDENTIFICADOS
2112010005,CONTRIBUICAO - AEA A RECOLHER
2112010006,DANOS OPERACIONAIS A REGULARIZAR
2112010007,CONTAS A PAGAR DOS FUNDOS EXCLUSIVOS
2112010009,VALORES A COMPENSAR DE TERCEIROS
2112019996,CONTAS A PAGAR CNS
2112019997,ENTIDADES PARCEIRAS/PROPONENTES
2112019998,SEBRAE
2112019999,CONVENIOS
2112020001,CARTOES BANCO DO BRASIL VISA
2113010001,SALARIOS A PAGAR
2113010002,RESCISAO DE CONTRATO DE TRABALHO A PA
2113010003,SALARIOS A PAGAR EXPATRIADOS
2113010004,RESTITUIÇÃO DE CESSÃO
2113020001,PENSAO ALIMENTICIA A PAGAR
2113020002,ASSISTENCIA MEDICA A PAGAR
2113020003,SALARIO EDUCACAO A PAGAR
2113020004,BENEFICIOS FLEXIVEIS A PAGAR
2113020005,VALE TRANSPORTE A PAGAR
2113020006,PREVIDENCIA PRIVADA A PAGAR
2113020007,VALORES A PAGAR AO F.A.O.
2113020008,SEGURO DE VIDA
2113020009,AUXÍLIO REFEIÇÃO/ALIMENTAÇÃO
2113029999,OBRIGACOES TRABALHISTAS E SOCIAIS EAS
2113030001,INSS S/ FOLHA PGTº A RECOLHER PATRONA
2113030002,INSS S/ FOLHA PGT° A RECOLHER AUTONOM
2113030003,INSS S/ FOLHA PGT° A RECOLHER EMPREGA
2113030004,FGTS A RECOLHER
2113030005,INSS DIRIGENTES A RECOLHER
2113030006,PIS/PASEP A PAGAR
2113030007,IRRF S/ FOLHA PGTº A RECOLHER
2114010001,INSS S/ SERVICOS DE TERCEIROS A RECOL
2114010002,IMPOSTOS S/ RECEITAS N/OPER. A RECOLH
2114010004,IRRF - (0473) REM. P/EXTERIOR A RECOL
2114010007,IRRF - (1708) TERCEIROS A RECOLHER
2114010008,IRRF - (0588) S/ RPCI A RECOLHER
2114010009,CSLL - (5987) TERCEIROS A RECOLHER
2114010011,PIS/COFINS/CSL - (5952) TERC. A RECOL
2114010012,PIS - (5979) TERCEIROS A RECOLHER
2114010013,COFINS - (5960) TERCEIROS A RECOLHER
2114010014,PIS - (5434) IMPORTACAO DE SERVICOS
2114010015,COFINS - (5442) IMPORTACAO DE SERVICO
2114010016,CIDE - (8741) REMESSAS AO EXTERIOR
2114010017,(5856) COFINS S/ REC FINANCE A RECOLH
2114010018,IRRF - (0422) ROYALTIES A RECOLHER
2114020001,IMPOSTOS E CONTRIBUICOES ESTADUAIS
2114030001,ISS POR SUBSTITUICAO TRIBUTARIA (1775
2114030003,ISS - (1723) IMPORTACAO DE SERVICOS
2114039999,ISS - (1708) A RECOLHER
2114040001,ENCARGOS TRABALHISTAS FL EXTERIOR
2114040002,TRIBUTOS CORPORATIVOS
2114040003,TRIBUTOS RETIDOS NA FONTE S/ FOLHA
2114040004,TRIBUTOS RETIDOS NA FONTE S/ SERVICOS
2114040005,ENCARGOS PRECO DE TRANSFERENCIA - (TP
2114050001,COFINS – (2172) FATURAMENTO
2114050002,CSLL S/ NF(S) SAIDA_FATURAMENTO
2114050003,PIS FATURAMENTO (8109)
2114050004,ISS FATURAMENTO (1708)
2114050005,COFINS NAO CUMULATIVA–(5856) FATURAME
2114059999,COFINS - (2172) FATURAMENTO
2115010001,CONSIGNACOES - CAIXA ECONOMICA FEDERA
2115010002,CONSIGNACOES - BANCO DO BRASIL
2115010003,CONVENIOS IMOBILIARIOS - TERRACAP
2115010004,CONSIGNACOES E CONVENIOS S/ FERIAS
2115010005,PREVIDENCIA PRIVADA S/ FERIAS
2115010006,CONSIGNACOES - BRADESCO
2115010007,CONSIGNAÇÕES - APEXPREV
2115010008,CONSIGNAÇÕES - CLT
2115020001,APEX/MDIC - EXPOXANGAI
2115020002,APEX/VALE - EXPOXANGAI
2115020003,APEX/JAFZA - DUBAI
2115020004,APEX/MDIC - MISSOES
2115020005,APEX/EDC DUBAI - MISSOES
2115020006,APEX/BID CONVENIO BID (BB/5906)
2115020007,OBRIGACOES C/ CONVENIOS E CONTRATOS E
2115020008,APEX/MDIC CONV. PROM COMPETITIV (BB60
2115020009,APEX/MDIC CONV. DESENV. PME (BB/6060)
2115020010,APEX/MDIC CONV. MISSOES 2012 (BB/6059
2115020011,APEX/MDIC CONVENIO DESIGN (BB/6054)
2115020012,APEX/MDIC CONVENIO PESQ E DESENV
2115020013,APEX/MDIC - CONVENIO MODA BRASIL
2115020014,APEX/MDIC - CONVENIO EXPO MILAO
2115020015,APEX/MDIC - CONVENIO CASA BRASIL
2116010001,EMPRESTIMOS E FINANCIAMENTOS BB
2116020001,EMPRESTIMOS E FINANCIAMENTOS CEF
2116030001,EMPRESTIMO CONSIGNADO APEXPREV
2117010001,PROVISAO DE FERIAS
2117010002,PROVISAO DE INSS S/ FERIAS
2117010003,PROVISAO DE FGTS S/ FERIAS
2117010004,PROVISAO DE PIS S/ FERIAS
2117010005,PROVISAO DE INSS S/ 1/3 FÉRIAS - DUBAI
2117010006,PROVISAO DE INSS S/ 1/3 FERIAS
2117020001,PROVISAO DE 13º SALARIO
2117020002,PROVISAO DE INSS S/ 13º SALARIO
2117020003,PROVISAO DE FGTS S/ 13º SALARIO
2117020004,PROVISAO DE PIS S/ 13º SALARIO
2117030001,PROVISAO DE DESCANSO ANUAL
2117030002,PROVISAO DE INSS S/ DESCANSO ANUAL
2117030003,PROVISAO DE FGTS S/ DESCANSO ANUAL
2117030004,PROVISAO DE PIS S/ DESCANSO ANUAL
2117040001,PROVISAO DE GRATIFICACAO ANUAL
2117040002,PROVISAO DE INSS S/ GRATIFICACAO ANUA
2117040003,PROVISAO DE FGTS S/ GRATIFICACAO ANUA
2117040004,PROVISAO DE PIS S/ GRATIFICACAO ANUAL
2117050001,PROVISOES DE NATUREZA TRABALHISTA
2117050002,PROVISOES DE NATUREZA TRIBUTARIA
2117050003,PROVISOES DE NATUREZA CONTRATUAL
2117050004,OUTRAS PROVISOES
2117060001,PREMIO POR TEMPO DE SERVICO
2117060002,INSS S/ PREMIO POR TEMPO DE SERVICO
2117060003,FGTS S/ PREMIO POR TEMPO DE SERVICO
2117060004,PIS S/ PREMIO POR TEMPO DE SERVICO
2118010001,DEVOLUÇOES A CLIENTES
2118010002,ADIANTAMENTOS DE CLIENTES
2118010003,DEMAIS CONTAS A PAGAR
2118010004,RECEITA DIFERIDA
2118010005,CONTRIBUICAO SINDICAL A RECOLHER
2118019999,ADIANTAMENTO RECURSOS FINANCEIROS EAS
2118020001,DEPOSITOS E CAUCOES DE LICITACOES
2118029995,TECNISYS - DOSSIE 079/2007
2118029996,LOCACAO VEICULOS APEX - BR GONCALVES
2118029997,AGENCIA GARANTIA O2
2118029998,IT ONE - PREGAO 02/2011 - BB 431589-8
2118029999,ON LINE - CONTR 06-05/11 - BB 431588-
2118030001,FAO REPASSES APEX / EMPREGADOS
2118030002,FAO REND. LIQUIDOS APLICACOES / TARIF
2118030003,(-) FAO SERV. ODONT. (PAGTº/REEMBOLSO
2118040001,HONORARIOS DE SUCUMBENCIA - PRINCIPAL
2118040002,HONORARIOS DE SUCUMBENCIA - RENDIMENT
2119010001,FINANCIAMENTO P/ ARRENDAMENTO - CP
2119990001,( - ) ENCARGOS FINANC. A TRANSCORRER CP
2211010001,PROCESSOS JUDICIAIS TRABALHISTAS
2211010002,PROCESSOS JUDICIAIS TRIBUTARIOS
2211010003,PROCESSOS JUDICIAIS - INSS 1/3 FERIAS
2211010004,PROCESSOS JUDICIAIS CÍVEIS
2211010005,PROCESSOS JUDICIAIS - INSS FOLHA
2211010006,PROCESSOS JUDICIAIS - MS PIS
2211010007,PROCESSOS JUDICIAIS - MS COFINS
2211010008,PROCESSOS JUDICIAIS - MS SALARIO EDUC
2211010009,PROCESSOS JUDICIAIS - MS INCRA
2211010010,PROCESSOS JUDICIAIS - MS IOF
2212010001,OBRIGACOES TRIBUTARIAS DIFERIDAS
2213010001,OBRIGACOES COM CONVENIOS E CONTRATOS
2214010001,FINANCIAMENTO P/ ARRENDAMENTO - LP
2214990001,( - ) ENCARGOS FINANC. A TRANSCORRER LP
2215010001,PREMIO POR TEMPO DE SERVICO - LP
2215010002,INSS S/ PREMIO POR TEMPO DE SERVICO
2215010003,FGTS S/ PREMIO POR TEMPO DE SERVICO
2215010004,PIS S/ PREMIO POR TEMPO DE SERVICO
2221010003,DEMAIS OBRIGACOES A PAGAR - LP
2221010004,RECEITA DIFERIDA - LP
2311010001,SUPERAVIT ACUMULADO
2311010002,SUPERAVIT DO EXERCICIO
2311020001,DEFICIT ACUMULADO
2311020002,DEFICIT DO EXERCICIO
2321010001,RESERVAS DE TRANSFERENCIAS
2321010002,RESERVAS DE AVALIACAO ATIVOS FINANCEI
2321010003,RESERVAS DE AVALIACAO ATIVO PERMANENT
2322030001,RESERVA TAXA RFB
2322030002,RESERVA TRABALHISTA
2322030003,RESERVA APEX S/A
2322030004,RESERVA SALDO FINANCEIRO
2331010001,AJUSTES DE INSTRUMENTOS FINANCEIROS
2331020001,AJUSTES DE AVALIACAO PATRIMONIAL
2331030001,AJUSTES DE CONVERSAO DO PERIODO
2331040001,OUTROS RESULTADOS ABRANGENTES
2411010001,PASSIVO COMPENSADO
3111010001,EVENTOS INTERNACIONAIS
3111010002,PROJETOS SETORIAIS INTEGRADOS
3111010003,OUTRAS MISSOES
3111019992,PROJETO APEX
3111019993,EXPODUBAI 2020 - CATERING SERVICES
3111019994,EXPODUBAI 2020 - COMMERCIAL OPERATION
3111019995,PROJETOS HORIZONTAIS
3111019996,PROJETOS ISOLADOS
3111019997,PROJETOS DE EXPORTACAO DE CONSORCIOS
3111019998,PROSPECCAO DE MERCADO
3111019999,CONTRATOS DE PATROCINIO
