key;akd_rows;ct2_rows;akd_total;ct2_total;status
SE5245474;3;2;1864887.99;1243258.66;ambiguo
SE5245475;3;2;141060.57;94040.38;ambiguo
SE5245476;3;2;1073830.26;715886.84;ambiguo
SE5245477;3;2;596718.48;397812.32;ambiguo
SE5245478;3;2;5094805.38;3396536.92;ambiguo
SE5245479;3;2;7858597.11;5239064.74;ambiguo
SE5245480;3;2;814616.10;543077.40;ambiguo
SE5245481;3;2;1397048.55;931365.70;ambiguo
SE5245482;3;2;154186.26;102790.84;ambiguo
SE5245483;3;2;86762.94;57841.96;ambiguo
SE5245484;3;2;3692700.03;2461800.02;ambiguo
SE5245485;3;2;1124958.78;749972.52;ambiguo
SE5245486;3;2;456890.16;304593.44;ambiguo
SE5245487;3;2;984031.32;656020.88;ambiguo
SE5245488;3;2;182218.02;121478.68;ambiguo
SE5245489;3;2;59578.71;39719.14;ambiguo
SE5245490;3;2;1373341.05;915560.70;ambiguo
SE5245501;3;2;285066.63;190044.42;ambiguo
SE5245510;3;2;900.00;600.00;ambiguo
SE5245532;3;2;3547.95;2365.30;ambiguo
SE5245533;3;2;870.75;580.50;ambiguo
SE5245534;3;2;864.93;576.62;ambiguo
SE5245535;3;2;595.26;396.84;ambiguo
SE5245536;3;2;392.73;261.82;ambiguo
SE5245537;3;2;987.00;658.00;ambiguo
SE5245538;3;2;1978.62;1319.08;ambiguo
SE5245539;3;2;459.15;306.10;ambiguo
SE5245540;3;2;7350.00;4900.00;ambiguo
SE5245543;3;2;860.67;573.78;ambiguo
SE5245544;3;2;2024.34;1349.56;ambiguo
SE5245545;3;2;842.85;561.90;ambiguo
SE5245546;3;2;960.00;640.00;ambiguo
SE5245547;3;2;619.11;412.74;ambiguo
SE5245548;3;2;7284.36;4856.24;ambiguo
SE5245549;3;2;412.41;274.94;ambiguo
SE5245550;3;2;846.72;564.48;ambiguo
SE5245590;2;2;634.56;634.56;forte_grupo
SE5245591;2;2;126.00;126.00;forte_grupo
SE5245592;2;2;58.60;58.60;forte_grupo
SE5245593;2;2;43.80;43.80;forte_grupo
SE5245594;2;2;122.90;122.90;forte_grupo
SE5245595;2;2;17.00;17.00;forte_grupo
SE5245596;2;2;12.20;12.20;forte_grupo
SE5245597;2;2;12.20;12.20;forte_grupo
SE5245635;3;2;829611.36;553074.24;ambiguo
SE5245636;3;2;2237471.76;1491647.84;ambiguo
SE5245769;2;2;750.70;750.70;forte_grupo
SE5245775;2;2;139.42;139.42;forte_grupo
SE5245805;2;2;2333.52;2333.52;forte_grupo
SE5245807;2;2;8830765.36;8830765.36;forte_grupo
SE5245808;2;2;255.12;255.12;forte_grupo
SE5245811;2;2;450.90;450.90;forte_grupo
SE5245833;3;2;99460.20;66306.80;ambiguo
SE5245836;3;2;3106083.54;2070722.36;ambiguo
SE5245837;3;2;1275598.65;850399.10;ambiguo
SE5245887;2;2;198.00;198.00;forte_grupo
SE5245897;2;2;0.02;0.02;forte_grupo
SE5245898;2;2;0.02;0.02;forte_grupo
SE5245899;2;2;23.40;23.40;forte_grupo
SE5245901;2;2;12.86;12.86;forte_grupo
SE5245902;2;2;174.00;174.00;forte_grupo
SE5245903;3;2;24.00;16.00;ambiguo
SE5245937;2;3;141.20;211.80;ambiguo
SE5245938;2;5;12.20;30.50;ambiguo
SE5245939;2;3;12.20;18.30;ambiguo
SE5245943;2;2;12.20;12.20;forte_grupo
SE5245944;2;2;12.20;12.20;forte_grupo
SE5245945;2;2;5192.54;5192.54;forte_grupo
SE5245948;3;2;4747.26;3164.84;ambiguo
SE5245955;3;2;9986.49;6657.66;ambiguo
SE5245956;3;2;1287.00;858.00;ambiguo
SE5245957;3;2;11397.78;7598.52;ambiguo
SE5245958;3;2;1974.00;1316.00;ambiguo
SE5245986;3;2;105107.64;70071.76;ambiguo
SE5245987;3;2;2034696.66;1356464.44;ambiguo
SE5245988;3;2;928359.27;618906.18;ambiguo
SE5245989;3;2;80121.90;53414.60;ambiguo
SE5245990;3;2;441399.93;294266.62;ambiguo
SE5245999;2;2;12.20;12.20;forte_grupo
SE5246000;2;2;141.20;141.20;forte_grupo
SE5246003;2;2;2103.24;2103.24;forte_grupo
SE5246006;2;2;23599.60;23599.60;forte_grupo
SE5246007;2;3;12.20;18.30;ambiguo
