reason_signature;candidatos;selecionados;taxa_selecao
cc|classe_valor|doc_extra|doc_hist_1|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;4;0;0.0
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_1|ent05_conta|tokens|valor;4;4;100.0
cc|classe_valor|doc_extra|doc_hist_2|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;4;0;0.0
competencia|doc_extra|doc_hist_1|texto|tokens|valor|xdoc|xdoc_at01cr;4;2;50.0
competencia|doc_extra|doc_hist_1|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;4;2;50.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|valor|xnumap_at04db|xnumap_xdocum;4;1;25.0
cc|competencia|doc_extra|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;4;1;25.0
cc|competencia|doc_extra|valor|xnumap_at04db|xnumap_xdocum;4;0;0.0
cc|chave_estruturada|classe_valor|conta_cc_classe|doc_extra|ent05_conta|texto|tokens|valor;4;0;0.0
cc|classe_valor|conta_cc_classe|ent05_conta|texto|tokens|valor;4;0;0.0
cc|chave_estruturada|classe_valor|doc_extra|texto|tokens|valor;4;0;0.0
cc|chave_estruturada|doc_extra|ent05_conta|valor;4;0;0.0
classe_valor|ent05_conta|valor;4;0;0.0
chave_estruturada|classe_valor|competencia|competencia_classe|competencia_conta_classe|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;3;1;33.33
chave_estruturada|competencia|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;3;1;33.33
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_2|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;3;1;33.33
chave_estruturada|competencia|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;3;1;33.33
chave_estruturada|competencia|doc_extra|doc_hist_2|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;3;1;33.33
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|ent05_conta|valor|xdoc|xdoc_at01cr;3;1;33.33
cc|chave_estruturada|competencia|doc_extra|doc_hist_2|texto|tokens|valor|xdoc|xdoc_at01cr;3;1;33.33
